cuenta_codigo;descripcion_rubro;se_carga_por;se_abona_por;significado_saldo
410102;Esta cuenta es transitoria y representa la acumulación de costos en la orden de producción Bloque;Durante el período contable con valor de las materias primas consumidas, material directo, mano de obra directa y los costos indirectos asignados a la orden Bloque;Al final del período de costos o al cierre del ejercicio contable por los traslados a la cuenta INVENTARIO Sub-cuentas Productos Terminados y Productos en Proceso;Su saldo es DEUDOR
410103;Esta cuenta es transitoria y representa la acumulación de costos en la orden de producción Losas;Durante el período contable con valor de las materias primas consumidas, material directo, mano de obra directa y los costos indirectos asignados a la orden Losas;Al final del período de costos o al cierre del ejercicio contable por los traslados a la cuenta INVENTARIO Sub –cuentas Productos Terminados y Productos en Proceso;Su saldo es DEUDOR
4102;Costos acumulados y aplicados generales de fabricación;"";"";Su saldo es DEUDOR
410201;Cuenta que representa el costo real acumulado de los costos indirectos de fabricación en los que se ha incurrido a una fecha determinada;Con el valor de los costos indirectos de fabricación realmente incurridos a medida que estos se hayan generado para cada orden de producción;Con la liquidación de su saldo contra la cuenta “R”COSTOS INDIRECTOS DE FABRICACIÓN APLICADOS. Cuando exista una sub-aplicación de costos indirectos de fabricación, esta se deberá liquidar contra la cuenta COSTOS INDIRECTOS DE FABRICACIÓN SUB-APLICADOS;Su saldo es DEUDOR
410202;Representa el valor acumulado de los costos indirectos de fabricación que se han asignado a las órdenes de producción, mediante el empleo de tasas predeterminadas;Al finalizar el período contable liquidando su saldo contra la cuenta COSTOS INDIRECTOS DE FABRICACIÓN- CONTROL. Cuando exista una sobre-aplicación de costos indirectos de fabricación, ésta deberá liquidarse contra la cuenta R COSTOS INDIRECTOS DE FABRICACIÓN SOBRE-APLICADOS;Con el valor resultante de aplicar las tasas predeterminadas de costos indirectos de fabricación a cada orden de producción;Su saldo es DEUDOR
410203;Representa la sub-aplicación de los costos indirectos de fabricación;Con el valor de la sub-aplicación de los costos indirectos de fabricación reales;Al distribuir la sub-aplicación de los costos indirectos de fabricación, trasladándola a la cuenta COSTO DE VENTA, en caso que se haya vendido todo el producto; pero si existieren productos en proceso y productos terminados, la sub-aplicación se distribuirá además, entre las cantidades existentes de esas cuentas;Su saldo es DEUDOR
410204;Representa la sobre-aplicación de costos indirectos de fabricación;Al distribuir la sobre-aplicación de los costos indirectos de fabricación trasladándola a la cuenta COSTO DE VENTA DE PRODUCTOS, en caso que se haya vendido todo el producto; pero si existieren productos en proceso y productos terminados, la sub aplicación se distribuirá además, entre las cantidades existentes de esas cuentas;Con el valor de la sobre-aplicación de los costos indirectos de fabricación reales;Su saldo es ACREEDOR
4103;Control específico del costo de lo vendido;"";"";Su saldo es DEUDOR
410301;Representa el costo acumulado de la producción vendida que se ha determinado en las distintas hojas de costos;Con el valor total de la producción vendida y con el importe que le corresponde al existir una sub aplicación de costos indirectos de fabricación;Con el valor correspondiente de las sobre aplicaciones del período y al final del ejercicio, cuando se liquida su saldo contra la cuenta PÉRDIDAS Y EXCEDENTES;Su saldo es DEUDOR
42;Representan las disminuciones brutas en activos o aumentos brutos en pasivos que resultan de las actividades lucrativas de la cooperativa y que cambian el patrimonio;"";"";Su saldo es DEUDOR
4201;Son aquellos egresos que ocasionan los gastos en los que haya incurrido la cooperativa para cubrir sus necesidades de operación;"";"";Su saldo es DEUDOR
420101;Registra todos los gastos ocasionados por las actividades administrativas de la Cooperativa;Con las cantidades aplicables directamente con las pérdidas de valor sufridas por depreciaciones y venta de activo fijo al servicio de la administración;Con el valor total de los gastos hechos por este concepto, al final del ejercicio, cargándose a la cuenta de pérdidas y ganancias;Su saldo es DEUDOR
420102;Registra el valor de los gastos ocasionados por la comercialización de las mercaderías de la Cooperativa;Con el valor de los gastos ocasionados hechos directamente y con el valor de pérdidas sufridas por depreciación y venta de activos fijos, al servicio de la Cooperativa de la comercialización;Con el valor de los gastos hechos por este concepto al final del ejercicio, cargándole a la cuenta de pérdidas y ganancias;Su saldo es DEUDOR
4202;Agrupa las cuentas que registran todos los gastos que no se relacionan con el desenvolvimiento operacional de la Cooperativa;"";"";Su saldo es DEUDOR
420201;Registra el valor de los gastos ocasionados por financiamiento recibidos por la Cooperativa, otorgados por cualquier institución financiera o persona natural;Con el valor de los gastos efectuados;Con el total de gastos al final del ejercicio, cargándoles a la cuenta de pérdidas y ganancias;Su saldo es DEUDOR
420202;Refleja el impuesto de renta corriente y el impuesto de renta diferido resultante del estudio de las bases fiscales y valores en libros de los activos y pasivos que posee la cooperativa y que pueden originar diferencias temporarias imponibles;Con el valor del impuesto corriente determinado de acuerdo con la ley del Impuesto de Renta; con el valor del impuesto diferido cuando surjan diferencias temporarias imponibles y cuando se reviertan las diferencias temporarias deducibles, determinado con base a la aplicación de la Norma;Al finalizar el ejercicio contable con el traslado a la cuenta PÉRDIDAS Y EXCEDENTES, para liquidar su saldo;Su saldo es DEUDOR
420203;Representa el deterioro de los activos propiedad de la cooperativa, ocasionados por circunstancias ajenas a sus operaciones;Con el valor determinado del deterioro que han sufrido los activos durante el ejercicio contable;Al finalizar el ejercicio contable contra la cuenta PÉRDIDAS Y EXCEDENTES para liquidar su saldo;Su saldo es DEUDOR
420204;Registra todos los gastos en los cuales ha incurrido la Cooperativa por motivos de recuperación de mora;Con los egresos ocasionados por este concepto;Con el valor total para ser liquidado contra pérdidas y ganancias al final del periodo contable;Su saldo es DEUDOR
420205;Se registran los gastos realizados y que no pertenecen a la activity principal de la cooperativa;Con el valor de los gastos efectuados;Con el total de los gastos al final del ejercicio cargándolos a la cuenta de pérdidas y excedentes;Su saldo es DEUDOR
43;Rubro para concentrar pérdidas extraordinarias y por enajenación de activos;"";"";Su saldo es DEUDOR
4301;Registra las pérdidas ocasionadas en los activos de la cooperativa que ocasionen deterioro de valor de los bienes;"";"";Su saldo es DEUDOR
430101;Registra todos los gastos extraordinarios incurridos por causas ajenas a las operaciones de la cooperativa;Con el valor determinado del deterioro de los bienes muebles, inmuebles e intangibles sufridos durante el ejercicio contable;Con el traslado del saldo a la cuenta de pérdidas y ganancias al final del período contable;Su saldo es DEUDOR
4302;Registra las pérdidas que provengan por ventas de activos de explotación;"";"";Su saldo es DEUDOR
430201;Registra las pérdidas que provengan por ventas de activos de explotación;Con el valor de las pérdidas resultantes de la venta de activos de explotación de la asociación cooperativa;Con el traslado del saldo a la cuenta de pérdidas y ganancias al finalizar del ejercicio contable;Su saldo es DEUDOR
4303;Registra las pérdidas ocasionadas en los activos siempre y cuando sean estos por casos fortuitos;"";"";Su saldo es DEUDOR
430301;Registra las pérdidas ocasionadas en los activos siempre y cuando sean estos por casos fortuitos;Con el valor de la pérdida por casos fortuitos tales como: robos, inundaciones, incendios etc;Con el traslado del saldo a la cuenta de pérdidas y ganancias al finalizar del ejercicio contable;Su saldo es DEUDOR
5;Se registran todos los ingresos provenientes de las actividades propias de la Cooperativa;"";"";Su saldo es ACREEDOR
51;Ingresos operativos y productos financieros integrales;"";"";Su saldo es ACREEDOR
5101;Se registran todos los ingresos provenientes de las ventas ya sean estas al contado o al crédito;"";"";Su saldo es ACREEDOR
510101;Registra los ingresos provenientes de las ventas de mercaderías locales;Con el total de ingresos al final del ejercicio trasladándose a la cuenta de pérdidas y ganancias;Con el valor de las ventas de mercaderías efectuadas tanto a crédito como al contado;Su saldo es ACREEDOR
510102;Registra los ingresos provenientes de las ventas de mercaderías hechas fuera del país;Con el total de ingresos al final del ejercicio trasladándose a la cuenta de pérdidas y ganancias;Con el valor de las ventas de mercaderías efectuadas tanto a crédito como al contado;Su saldo es ACREEDOR
5102;Estructura de productos financieros generados por créditos internos;"";"";Su saldo es ACREEDOR
510201;En esta cuenta se registrarán los ingresos por intereses, comisiones, etc Provenientes de los préstamos y créditos otorgados por la Cooperativa a sus asociados;Al liquidar el saldo contra la cuenta perdidas y excedentes al final del ejercicio;Con el valor de los ingresos percibidos por este concepto;Su saldo es ACREEDOR
510202;Se registran los intereses generados por las cuentas de ahorros que tenga la Cooperativa en otras instituciones financieras;Al liquidar el saldo contra la cuenta de pérdidas y excedentes;Con el valor de los intereses devengados de la cuentas de ahorro corriente y a plazo;Su saldo es ACREEDOR
510203;Reversión de pérdidas por deterioro previamente registradas;Con el traslado del saldo a la cuenta 6101 PÉRDIDAS Y GANANCIAS, al finalizar el ejercicio contable, con el objetivo de obtener el resultado del ejercicio;Con el valor determinado de la reversión del deterioro de los activos;Su saldo es ACREEDOR
52;Los ingresos no operativos lo representan todos aquellos productos que se reportan en la Asociación y que no son parte del objeto, giro o actividad económica principal de la Cooperativa;"";"";Su saldo es ACREEDOR
5201;Cuentas de utilidad eventual por bajas de activos;"";"";Su saldo es ACREEDOR
520101;En esta cuenta se representará las utilidades obtenidas por ventas de activos extraordinarios;Su saldo para efectos de liquidación y cierre contable contra las cuentas de costos y gastos, para establecer los resultados del periodo;Con las utilidades que se perciben en las ventas de activos;Su saldo es ACREEDOR
520102;En esta cuenta se representará las utilidades obtenidas por ventas de propiedad, planta y equipo que tenga la asociación cooperativa;Su saldo para efectos de liquidación y cierre contable contra las cuentas de costos y gastos, para establecer los resultados del período;Con las utilidades que se perciben en las ventas de activos;Su saldo es ACREEDOR
520103;En esta cuenta se registrará el valor de los ingresos que la asociación haya tenido por operaciones que no son usuales de la Cooperativa;Al final del ejercicio económico para trasladar su saldo a la cuenta de pérdidas y excedentes;Con el valor de conceptos de ingresos no usuales o que sean eventuales fuera del giro de la Cooperativa;Su saldo es ACREEDOR
6;Agrupa las cuentas para controlar los valores que representan derechos obtenidos y obligaciones asumidas por la cooperativa Su representación en el balance general será abajo del total del Activo y del Total Pasivo y Patrimonio;"";"";Cierre del ejercicio
61;Bajo este rubro se llevará la cuenta que nos señalara si la cooperativa obtuvo excedentes o perdidas en el ejercicio de sus operaciones;"";"";Liquidadora
6101;Cuentas principal que servirá para centralizar y liquidar los saldos de las cuentas de resultados deudoras y acreedoras al final de ejercicio económico;"";"";Liquidadora
610101;Cuentas principal que servirá para centralizar y liquidar los saldos de las cuentas de resultados deudoras y acreedoras al final de ejercicio económico, con el fin de establecer los excedentes o las pérdidas en las operaciones de la cooperativa;Con el total de los saldos de las cuentas de resultados deudoras y con el valor del excedente obtenido al trasladarlo a la cuenta de excedentes;Con el total de los saldos de las cuentas de resultados acreedores y con el valor de la pérdida sufrida al trasladarla a cuenta de pérdidas;Establece pérdidas o ganancias
7;Son registros de las operaciones no contables, pero que tienen alguna injerencia en la operatoria de la cooperativa y su función principal es la de servir, de momería de operaciones;"";"";Su saldo es DEUDOR
71;Este rubro agrupa las cuentas de orden deudoras;"";"";Su saldo es DEUDOR
7101;Este rubro agrupa las cuentas de orden deudoras generales;"";"";Su saldo es DEUDOR
710101;Bajo esta cuenta se registrarán las operaciones por documentos, contratos o garantías que en un momento determinado pueden ser exigibles;Con los documentos o garantías;Con la liquidación de los documentos o garantías;Su saldo es DEUDOR
710102;Bajo esta cuenta se registran los activos fijos que ya concluyeron con su vida útil pero que aún le sirven a la Cooperativa;Cuando estos se venden;Con el valor de los activos fijos a un valor posible venta;Su saldo es DEUDOR
8;En este rubro se agruparán las cuentas de orden acreedoras, se registrara la liquidación por operaciones de estos documentos, contratos o garantías respectivamente;"";"";Su saldo es ACREEDOR
81;En este rubro se agruparán las cuentas de orden acreedoras generales;"";"";Su saldo es ACREEDOR
8101;En este rubro se agruparán las cuentas de orden acreedoras particulares;"";"";Su saldo es ACREEDOR
810101;Bajo esta cuenta se registrará la liquidación por operaciones de documentos, contratos o garantías;Con los documentos o garantías;Con la liquidación de los documentos o garantías;Su saldo es ACREEDOR
